address,lat,lng
"Saavedra 335, Balvanera, Ciudad de Buenos Aires, C1083, Ciudad Autónoma de Buenos Aires",-34.61379000666262,-58.40313996113983
"Deán Funes 646, Balvanera, Ciudad de Buenos Aires, C1231, Ciudad Autónoma de Buenos Aires",-34.61827000818135,-58.40646003298762
"Matheu 997, San Cristóbal, Ciudad de Buenos Aires, C1219, Ciudad Autónoma de Buenos Aires",-34.620810018210115,-58.3999000202864
"México 2145, Balvanera, Ciudad de Buenos Aires, C1222, Ciudad Autónoma de Buenos Aires",-34.616020012002444,-58.396769966183584
"Bartolomé Mitre 2305, Balvanera, Ciudad de Buenos Aires, C1039, Ciudad Autónoma de Buenos Aires",-34.60845805002246,-58.39933225165571
"Teniente General Juan Domingo Perón 2092, Balvanera, Ciudad de Buenos Aires, C1040, Ciudad Autónoma de Buenos Aires",-34.60722491385713,-58.39629694586549
"Bartolomé Mitre 1801, Balvanera, Ciudad de Buenos Aires, C1039, Ciudad Autónoma de Buenos Aires",-34.607960015818456,-58.39215002879135
"Avenida Córdoba 1856, Balvanera, Ciudad de Buenos Aires, C1120, Ciudad Autónoma de Buenos Aires",-34.59974000910285,-58.3937399920047
"Boulogne Sur Mer 950, Balvanera, Ciudad de Buenos Aires, C1213, Ciudad Autónoma de Buenos Aires",-34.59892901737713,-58.40510754736925
"Avenida Callao 384, Balvanera, Ciudad de Buenos Aires, C1022, Ciudad Autónoma de Buenos Aires",-34.60466001862877,-58.39236996993067
"Avenida Independencia 3075, Balvanera, Ciudad de Buenos Aires, C1225, Ciudad Autónoma de Buenos Aires",-34.61986998776899,-58.408920037750576
"Alberti 143, Balvanera, Ciudad de Buenos Aires, C1082, Ciudad Autónoma de Buenos Aires",-34.61152001964465,-58.401670026779954
"Presidente José E. Uriburu 460, Balvanera, Ciudad de Buenos Aires, C1027, Ciudad Autónoma de Buenos Aires",-34.60379999345346,-58.39836001321597
"Avenida Callao 492, Balvanera, Ciudad de Buenos Aires, C1022, Ciudad Autónoma de Buenos Aires",-34.60331363800265,-58.39244878769174
"Misiones 65, Balvanera, Ciudad de Buenos Aires, C1083, Ciudad Autónoma de Buenos Aires",-34.610889993892464,-58.40456002317582
"Saavedra 618, Balvanera, Ciudad de Buenos Aires, C1229, Ciudad Autónoma de Buenos Aires",-34.61696000053406,-58.40259002447249
"Paso 707, Balvanera, Ciudad de Buenos Aires, C1031, Ciudad Autónoma de Buenos Aires",-34.60087998984422,-58.40335998609818
"Avenida Hipólito Yrigoyen 2115, Balvanera, Capital Federal, C1089, Ciudad Autónoma de Buenos Aires",-34.61057998920352,-58.39650995954709
"Boulogne Sur Mer 290, Balvanera, Ciudad de Buenos Aires, C1213, Ciudad Autónoma de Buenos Aires",-34.60680538369187,-58.40746367054128
"Pasco 1490, San Cristóbal, Ciudad de Buenos Aires, C1251, Ciudad Autónoma de Buenos Aires",-34.62662292782132,-58.39548167920247
"Azcuénaga 725, Balvanera, Ciudad de Buenos Aires, C1029, Ciudad Autónoma de Buenos Aires",-34.600779993739344,-58.40095002129718
"Coronel Martiniano Chilavert 5669, Villa Lugano, Ciudad de Buenos Aires, C1439, Ciudad Autónoma de Buenos Aires",-34.68101886453883,-58.46981324627728
"Avenida General Paz Este 15255, Villa Lugano, Ciudad de Buenos Aires, C1439, Ciudad Autónoma de Buenos Aires",-34.68321585998022,-58.48977701867116
"Avenida General Paz Este 15255, Villa Lugano, Ciudad de Buenos Aires, C1439, Ciudad Autónoma de Buenos Aires",-34.68321585998022,-58.48977701867116
"Coronel Martiniano Chilavert 3592, Villa Soldati, Ciudad de Buenos Aires, C1437, Ciudad Autónoma de Buenos Aires",-34.662488148254624,-58.44835144316448
"Coronel Martiniano Chilavert, Villa Soldati, Ciudad de Buenos Aires, C1437, Ciudad Autónoma de Buenos Aires",-34.65856429444464,-58.443960041747566
"Coronel Martiniano Chilavert, Villa Soldati, Ciudad de Buenos Aires, C1437, Ciudad Autónoma de Buenos Aires",-34.65856429444464,-58.443960041747566
"Coronel Martiniano Chilavert, Villa Soldati, Ciudad de Buenos Aires, C1437, Ciudad Autónoma de Buenos Aires",-34.65856429444464,-58.443960041747566
"Coronel Martiniano Chilavert, Villa Soldati, Ciudad de Buenos Aires, C1437, Ciudad Autónoma de Buenos Aires",-34.65856429444464,-58.443960041747566
"San Pablo, Villa Lugano, Ciudad de Buenos Aires, Ciudad Autónoma de Buenos Aires",-34.67267999999996,-58.48744999999997
"Coronel Martiniano Chilavert 3422, Villa Soldati, Ciudad de Buenos Aires, C1437, Ciudad Autónoma de Buenos Aires",-34.6619038592458,-58.44767201269595
"Coronel Martiniano Chilavert 6150, Villa Riachuelo, Ciudad de Buenos Aires, C1439, Ciudad Autónoma de Buenos Aires",-34.68434999915043,-58.47382002439062
"Coronel Martiniano Chilavert 5188, Villa Lugano, Ciudad de Buenos Aires, C1439, Ciudad Autónoma de Buenos Aires",-34.677400948031256,-58.46545640527774
"Coronel Martiniano Chilavert 6047, Villa Lugano, Ciudad de Buenos Aires, C1439, Ciudad Autónoma de Buenos Aires",-34.6835100067237,-58.47264999452637
"Coronel Martiniano Chilavert 6047, Villa Lugano, Ciudad de Buenos Aires, C1439, Ciudad Autónoma de Buenos Aires",-34.6835100067237,-58.47264999452637
"Mariano Acosta 3045, Villa Soldati, Ciudad de Buenos Aires, C1437, Ciudad Autónoma de Buenos Aires",-34.6612781809172,-58.44798406764391
"Coronel Martiniano Chilavert 5475, Villa Lugano, Ciudad de Buenos Aires, C1439, Ciudad Autónoma de Buenos Aires",-34.67930937033517,-58.467827229728016
"Coronel Martiniano Chilavert 6006, Villa Lugano, Ciudad de Buenos Aires, C1439, Ciudad Autónoma de Buenos Aires",-34.68320000203475,-58.47222997735824
"Coronel Martiniano Chilavert 6006, Villa Lugano, Ciudad de Buenos Aires, C1439, Ciudad Autónoma de Buenos Aires",-34.68320000203475,-58.47222997735824
